id,name,calories_base
1,Stability Ball Dead Bug,150
2,Bodyweight Glute Bridge,120
3,Bodyweight Bird Dog,100
4,Stability Ball Russian Twist,180
5,Stability Ball Feet Elevated Crunch,200
6,Ring Hanging Knee Raise,230
7,Parallette Mountain Climber,250
8,Parallette Push Up,200
9,Bodyweight Knee Hover Bird Dog,130
10,Stability Ball V Up Pass,190
11,Bodyweight Dead Bug,110
12,Bodyweight Alternating Heel Taps,120
13,Bodyweight Flutter Kicks,180
14,Bodyweight Kneeling Forearm Plank,150
15,Bodyweight Seated Ab Circles,140
16,Ring Hanging Oblique Knee Raise,250
17,Stability Ball Stir the Pot,200
18,Bodyweight Alternating Lateral Kick Through,230
19,Ring L Sit Hang Flutter Kicks,300
20,Slam Ball Russian Twist,210
21,Dumbbell Otis Up,200
22,Single Arm Dumbbell Side Plank Reach Through,180
23,Ab Wheel Kneeling Rollout,220
24,Cable Seated Crunch,170
25,Cable Kneeling Crunch,170
26,Medicine Ball V Up,210
27,Suspension Knee Tuck,220
28,Suspension Lateral Knee Tuck,230
29,Suspension Archer Row,220
30,Single Arm Dumbbell Turkish Get Up,240
31,Bodyweight Bear Crawl,270
32,Stability Ball Knee Tuck,200
33,Ring Hanging Leg Raise,280
34,Parallette L Sit,250
35,Bodyweight Side Lying Hip Adduction,120
36,Bodyweight Standing Walkout Plank,180
37,Ring Eccentric Pull Up,210
38,Barbell Climb,320
39,Bodyweight Ipsilateral Bird Dog,140
40,Bodyweight Copenhagen Plank Knee to Elbow,220
41,Ring Eccentric Chin Up,210
42,Single Arm Dumbbell Seated Shoulder External Rotation,110
43,Double Dumbbell Seated Cuban Rotation,140
44,Double Dumbbell Standing Cuban Rotation,150
45,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,130
46,Miniband Fire Hydrant,120
47,Medicine Ball Russian Twist,200
48,Bodyweight Side Plank,140
49,Cable Reverse Crunch,180
50,Cable Rope Half Kneeling High to Low Chop,190
